"Subset","Detail","HFDvsSD_log2FoldChange","HFDvsSD_pvalue","KDvsSD_log2FoldChange","KDvsSD_pvalue","KDvsHFD_log2FoldChange","KDvsHFD_pvalue"
"HFDvsSD_KDvsHFD","Sod3",0.556612097589529,0.00692061483281903,NA,NA,-0.625899863645346,0.00162325473604416
"HFDvsSD_KDvsHFD","Arl14epl",1.6918598156601,0.0010987282335928,NA,NA,-1.62704825602519,0.000843914951428067
"HFDvsSD_KDvsHFD","Gm13304",-34.9575514491602,1.38563742378125e-09,NA,NA,32.253066432938,6.94946919453197e-09
"HFDvsSD_KDvsHFD","Ighm",1.45082760860315,0.00905028534748699,NA,NA,-2.02120715939002,0.00016119175500611
"HFDvsSD_KDvsHFD","Zfp986",-2.95950952672713,0.00752190684301124,NA,NA,3.44522814737028,0.00114170984876675
"HFDvsSD_KDvsHFD","AU022252",0.191111073606631,0.00209152938097106,NA,NA,-0.174588407050353,0.00334560115736143
"HFDvsSD_KDvsHFD","Snhg15",-0.595146277531306,0.000788259872788459,NA,NA,0.45727068168908,0.00752282816306449
"HFDvsSD_KDvsHFD","Gm13703",2.29476287975229,0.00701332345762541,NA,NA,-2.93428530519262,0.000568019543262088
"HFDvsSD_KDvsHFD","Gm15912",-1.31660383088093,5.74450031284279e-05,NA,NA,1.10965769228782,0.000488153019765324
"HFDvsSD_KDvsHFD","Snhg5",-0.365916371071482,0.00195568116495829,NA,NA,0.379218280669301,0.000844795251810066
"HFDvsSD_KDvsHFD","2810402E24Rik",-0.386471798898511,0.000550695423985294,NA,NA,0.304121482854788,0.00473451891469932
"HFDvsSD_KDvsHFD","Gm20257",-0.742128356828557,0.00373007841427289,NA,NA,0.759048432110427,0.00204149411491275
"HFDvsSD_KDvsHFD","Gm7694",0.583342720096732,0.000294818675301694,NA,NA,-0.634095833941348,4.15291580494983e-05
"HFDvsSD_KDvsHFD","Gm43127",-1.21233114726402,0.00930749320317046,NA,NA,1.35942071259112,0.00224828868670345
"HFDvsSD_KDvsHFD","Gm42895",-2.62248848796494,0.00106668593060461,NA,NA,2.45769224088898,0.00182105872524829
"HFDvsSD_KDvsHFD","Gm45470",-1.86324960452699,0.000163989135841586,NA,NA,1.28648839656582,0.00726040469749096
"HFDvsSD_KDvsHFD","Gm35315",0.790980771082204,0.00699118448290999,NA,NA,-0.953905989208536,0.000718421235803311
"HFDvsSD_KDvsHFD","Flt3l",-0.434825465935099,0.00597495376286845,NA,NA,0.412966800990926,0.00663755377983247
"HFDvsSD_KDvsHFD","Gm33111",-3.38588378095359,0.00410305429827508,NA,NA,3.17860842469738,0.00592822207691608
"HFDvsSD_KDvsHFD","Gm48684",-2.69574715955837,0.00791099501734915,NA,NA,3.36959163236587,0.000420192655658326
"HFDvsSD_KDvsHFD","Magef1",-0.378193667776771,0.000721926716467232,NA,NA,0.477892574490947,7.53007586266608e-06
"KDvsHFD","Ccnd2",NA,NA,NA,NA,-0.61793657891887,0.00229791281134345
"KDvsHFD","Itgb2",NA,NA,NA,NA,-0.792741138801389,0.00932424806362413
"KDvsHFD","Sema4f",NA,NA,NA,NA,1.05206860275448,0.00740598596731814
"KDvsHFD","Dnmt3l",NA,NA,NA,NA,-2.33297841473862,0.000785629030928767
"KDvsHFD","Itfg2",NA,NA,NA,NA,0.179883252372814,0.0067332879483817
"KDvsHFD","Tat",NA,NA,NA,NA,-1.67186372903169,0.00297773675842578
"KDvsHFD","Unc119",NA,NA,NA,NA,-0.918855615836206,0.00284068862952464
"KDvsHFD","Ccne1",NA,NA,NA,NA,-0.772174498055916,0.00568817440973157
"KDvsHFD","Ruvbl2",NA,NA,NA,NA,0.151638658329383,0.00478997064335063
"KDvsHFD","Slc1a3",NA,NA,NA,NA,1.12715380301451,0.000186941096369154
"KDvsHFD","Hmox1",NA,NA,NA,NA,-0.295939920710434,0.00371660244022262
"KDvsHFD","Pafah1b3",NA,NA,NA,NA,0.393510400258019,0.00505451487246165
"KDvsHFD","Ctsd",NA,NA,NA,NA,-0.475029641969007,0.00660239947421154
"KDvsHFD","Elmo3",NA,NA,NA,NA,-0.605130812138128,0.00792849466011315
"KDvsHFD","Egfl8",NA,NA,NA,NA,0.468028210242693,0.00892643124619867
"KDvsHFD","Rhbdl3",NA,NA,NA,NA,-0.388479603634616,0.00240109621548081
"KDvsHFD","Fuca2",NA,NA,NA,NA,-0.428754800650774,0.000906245189462778
"KDvsHFD","Ap3d1",NA,NA,NA,NA,-0.108650818340029,0.00880827950815236
"KDvsHFD","Pfkl",0.520098065410024,0.00104770858166232,NA,NA,-0.53032869611252,0.000520753957580373
"KDvsHFD","Gas2l2",NA,NA,NA,NA,-2.67863269272181,0.00219816165500987
"KDvsHFD","Mrc2",1.24808239060406,1.48524043009719e-05,NA,NA,-1.13093107414897,4.62861399523014e-05
"KDvsHFD","Slc4a7",NA,NA,NA,NA,-0.675986124150894,0.00132447766915899
"KDvsHFD","Baalc",NA,NA,NA,NA,0.87353560358158,0.00748973656364623
"KDvsHFD","Dcstamp",NA,NA,NA,NA,-2.64086603099711,2.76201637664459e-05
"KDvsHFD","Chodl",NA,NA,NA,NA,-1.81664428540634,0.00715871625434579
"KDvsHFD","Adamts5",NA,NA,NA,NA,-0.313817996877984,0.00171939314572311
"KDvsHFD","Tnfrsf21",NA,NA,NA,NA,-0.49247110757667,0.00585600736709382
"KDvsHFD","Ehd3",NA,NA,NA,NA,-0.340835238231889,0.00262306013440357
"KDvsHFD","2700062C07Rik",NA,NA,NA,NA,0.212575721655561,0.00807817469787435
"KDvsHFD","Tapbp",NA,NA,NA,NA,-0.271922960309762,0.00241852853085268
"KDvsHFD","Cidea",-3.18976450786413,9.80245208409321e-05,NA,NA,3.93278926440895,6.30448605789044e-07
"KDvsHFD","Lox",NA,NA,NA,NA,-0.308736780145653,0.00692613294812844
"KDvsHFD","Irf7",NA,NA,NA,NA,0.413683821615853,0.0033541641651751
"KDvsHFD","Marco",NA,NA,NA,NA,-2.1545192926824,0.00976194512519914
"KDvsHFD","Dpt",NA,NA,NA,NA,-1.22493046121272,0.00662437728565766
"KDvsHFD","Usp20",NA,NA,NA,NA,-0.181392154155868,0.00411927659723431
"KDvsHFD","Dhrs9",NA,NA,NA,NA,-3.04863837829321,0.000980278966364964
"KDvsHFD","Dusp2",NA,NA,NA,NA,1.11645358678956,0.00741049270004131
"KDvsHFD","Acoxl",2.60647945896157,0.00424674351985074,NA,NA,-3.32410284585531,0.000275879832291369
"KDvsHFD","E2f5",NA,NA,NA,NA,0.205448253001767,0.00891533474654175
"KDvsHFD","Ccn5",1.59306846456087,0.0052336482470926,NA,NA,-2.05755500155155,0.000183883444653812
"KDvsHFD","Ocstamp",NA,NA,NA,NA,-2.56557939344579,0.00446783369859999
"KDvsHFD","Tsc22d2",NA,NA,NA,NA,-0.412186710075558,0.00527385516258827
"KDvsHFD","Calb1",NA,NA,NA,NA,2.86727956306432,0.00477821646944712
"KDvsHFD","Spaca1",NA,NA,NA,NA,-0.976994792502062,0.001793160049089
"KDvsHFD","Tmem38b",NA,NA,NA,NA,-0.223448613566284,0.00838162670459188
"KDvsHFD","Plin2",NA,NA,NA,NA,-0.831099429250242,0.00525875207294305
"KDvsHFD","Rnf11",NA,NA,NA,NA,-0.327203062674547,0.00621614654295853
"KDvsHFD","Plch2",NA,NA,NA,NA,-2.51566993811604,7.07406775528817e-05
"KDvsHFD","Cds1",NA,NA,NA,NA,-0.584091668469965,0.00578911595664779
"KDvsHFD","Tfpi2",NA,NA,NA,NA,-0.838700297465445,0.00327917124638371
"KDvsHFD","Arhgap25",NA,NA,NA,NA,-0.711671203227774,0.00964327734664833
"KDvsHFD","Pianp",NA,NA,NA,NA,-0.86000002683416,0.00602838434297124
"KDvsHFD","Qpctl",NA,NA,NA,NA,-0.225728668484945,0.00361666924972362
"KDvsHFD","Dmpk",NA,NA,NA,NA,-0.616222811363964,0.00341616309136016
"KDvsHFD","Apba2",NA,NA,NA,NA,-1.00259273048132,0.00402133193141157
"KDvsHFD","Cyp2r1",NA,NA,NA,NA,-0.602833779647891,0.00141182564156335
"KDvsHFD","Cdr2",NA,NA,NA,NA,-0.425756628051141,0.0092688915802303
"KDvsHFD","Dhx32",NA,NA,NA,NA,-0.473182081579826,0.0074062015243686
"KDvsHFD","Srpx2",NA,NA,NA,NA,-1.30536422935578,0.000277063027490413
"KDvsHFD","Vegfd",NA,NA,NA,NA,-0.913751398425553,0.00893247080205046
"KDvsHFD","Ces1f",NA,NA,NA,NA,1.67583084491562,0.00052962112563696
"KDvsHFD","Cenpn",NA,NA,NA,NA,0.511876950272322,0.00965788621416354
"KDvsHFD","Slc37a2",NA,NA,NA,NA,-0.975383110657899,0.00163847223798829
"KDvsHFD","Atg12",NA,NA,NA,NA,-0.200586800243344,0.00690004765298648
"KDvsHFD","Mycbp2",NA,NA,NA,NA,-0.452808410783751,0.00076794528906341
"KDvsHFD","Gstt2",NA,NA,NA,NA,0.4429833060537,0.00382831539812087
"KDvsHFD","Ttc7b",NA,NA,NA,NA,-0.449671489416445,0.00371179066765138
"KDvsHFD","Vhl",NA,NA,NA,NA,-0.234174995714601,0.00346860294306754
"KDvsHFD","Ppm1h",NA,NA,NA,NA,-0.384071701016036,0.000973543815915458
"KDvsHFD","1110059E24Rik",NA,NA,NA,NA,0.172996847769256,0.00926161361734113
"KDvsHFD","Tnni3",NA,NA,NA,NA,0.483111654469081,0.00528728829425594
"KDvsHFD","Fam214b",NA,NA,NA,NA,-0.201799364869103,0.00573823969548228
"KDvsHFD","Sigmar1",NA,NA,NA,NA,-0.386855895490567,0.00697179844054435
"KDvsHFD","Frmd7",NA,NA,NA,NA,0.476513197511626,0.00654484790101169
"KDvsHFD","Slc18a1",NA,NA,NA,NA,-2.02952722120826,0.00875410810982447
"KDvsHFD","Sh3tc1",NA,NA,NA,NA,-0.780340352982521,0.00809395229066628
"KDvsHFD","Ccdc148",NA,NA,NA,NA,-0.516912910486286,0.00209043126955439
"KDvsHFD","Clca2",NA,NA,NA,NA,-1.0005868035672,0.00583768358408317
"KDvsHFD","Serpine1",NA,NA,NA,NA,-1.68163614473725,0.000879200470187501
"KDvsHFD","Best1",NA,NA,NA,NA,0.422653013726731,0.00174068865042808
